,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yago15k-temporal,complex,trainable_baseline,standard,1.0,0.0002223003470960896,5,0.09140727222431212,0.0002536115752697216,0.0022114136553181636,5,0.4989771252899306,0.00252289349982791,0.0,5,26719.0,0.0,0.0,5,0.0,0.0,0.002857166428474197,5,0.002,0.003259601202601324,0.01057764624101222,5,0.0235,0.012067518386147169,0.004900000000000001,5,0.01,0.005590169943749475,0.0006111569387280628,5,0.0016814385894640671,0.000697239010161542,0.0002722947559385903,5,0.7875322453022855,0.00031064774703847063,0.0019534741804247435,5,0.0920935602466169,0.0022286229896532734,0.003662300859640589,5,0.5006498191963973,0.004178139630720548,0.0,5,6738.0,0.0,0.001784848529045128,5,0.756493046731365,0.0020362462451456193
yago15k-temporal,distmult,trainable_baseline,standard,1.0,0.0005745534689673223,5,0.09170189405538336,0.0006554799047547187,0.005780630226765662,5,0.4924988559926816,0.006594837826447982,0.0,5,26719.0,0.0,0.00098,5,0.0005,0.001118033988749895,0.0039807788182716205,5,0.006,0.004541475531146238,0.014894710470499247,5,0.034499999999999996,0.016992645467966427,0.00908814612558579,5,0.0155,0.010368220676663861,0.0013463262890595013,5,0.0033829580684661548,0.0015359577052204473,0.0005503467455926375,5,0.7876842277668087,0.0006278636399698573,0.0057303248471339534,5,0.0971927690364178,0.006537446883340618,0.003707844144977427,5,0.5040039178739403,0.004230097733746996,0.0,5,6738.0,0.0,0.0052902268423606486,5,0.7610613438585154,0.006035360630567589
yago15k-temporal,temporal_distmult,trainable_baseline,standard,1.0,0.0008060014998805844,5,0.09203722527152627,0.0009195276243366201,0.006236563235638442,5,0.4944756142547663,0.0071149894596242835,0.0,5,26719.0,0.0,0.0012002499739637573,5,0.001,0.0013693063937629153,0.00504485876908363,5,0.006,0.00575543221661067,0.011962424503419028,5,0.028500000000000004,0.013647344063956181,0.009873226423008842,5,0.0185,0.01126388032606881,0.0021905537162469884,5,0.0037378610745699447,0.0024990954172923736,0.0008153541490887157,5,0.7882131462276902,0.0009301976036218707,0.0044598175933783365,5,0.09451490688235964,0.00508798740104259,0.0013499152577910226,5,0.49605362734502184,0.001540052183818816,0.0,5,6738.0,0.0,0.004476566071671671,5,0.7598121244459077,0.005107094919401558
