group,model_signature,datasets_completed,datasets_expected,datasets,selected_candidates,mean_score,mean_val_auc,mean_val_ap,mean_val_mrr,mean_val_hits@10,mean_val_ndcg,model_config
struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0_sa0_rl0_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""icews14"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""tkgl-yago"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""yago15k-temporal"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0_sa0_rl0_m0_bpr""}",0.47887555547314803,0.7803167724609376,0.5849208496565675,0.34042396079278253,0.4,0.8968476456203552,
struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0_rl0_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""icews14"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""tkgl-yago"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""yago15k-temporal"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0_rl0_m0_bpr""}",0.47240792389462943,0.7801849365234375,0.587171864288145,0.32495483268069625,0.4,0.8973462950451527,
struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0_sa0_rl0_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""icews14"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""tkgl-yago"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""yago15k-temporal"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0_sa0_rl0_m0_bpr""}",0.4688088095275248,0.776392822265625,0.5821168748235335,0.3198923093332997,0.4,0.8961425424955195,
struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0_rl0_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""icews14"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""tkgl-yago"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""yago15k-temporal"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0_rl0_m0_bpr""}",0.46878812206294385,0.7758795166015624,0.583436744458646,0.31922561715635617,0.4,0.8965526962077615,
struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0_sa0_rl0_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""icews14"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""tkgl-yago"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0_sa0_rl0_m0_bpr"", ""yago15k-temporal"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0_sa0_rl0_m0_bpr""}",0.45109202632620005,0.770457763671875,0.5772513008354229,0.28358712045025164,0.4,0.8950467377290838,
struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p1_sa0_rl0_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""icews14"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""tkgl-yago"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p1_sa0_rl0_m0_bpr"", ""yago15k-temporal"": ""struct_history_relpop_fixed_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p1_sa0_rl0_m0_bpr""}",0.4509803698317758,0.770103759765625,0.5778214826522483,0.2830301280316377,0.4,0.8954732769880792,
