source,dataset,method,ablation,scenario,few_shot_ratio,test_auc_mean,test_auc_std,test_auc_count,test_ap_mean,test_ap_std,test_ap_count,test_mrr_mean,test_mrr_std,test_mrr_count,test_hits@1_mean,test_hits@1_std,test_hits@1_count,test_hits@10_mean,test_hits@10_std,test_hits@10_count,test_hits@50_mean,test_hits@50_std,test_hits@50_count,test_hits@100_mean,test_hits@100_std,test_hits@100_count,test_ndcg_mean,test_ndcg_std,test_ndcg_count
fast_strong,tkgl-yago,edgebank_exact,strong_baseline,label_split,1.0,0.9207417856786179,1.177716609915516e-05,5,0.852079327478207,0.0002331554367621702,5,0.4009429321895016,0.0,5,0.37,0.0,5,0.42,0.0,5,0.42,0.0,5,0.42,0.0,5,0.9801447204361106,2.6805668892220033e-05,5
fast_strong,tkgl-yago,edgebank_time_decay,strong_baseline,label_split,1.0,0.9209047118701745,7.525193816932859e-06,5,0.8558779782124478,0.00014551470473679658,5,0.4184429376605109,4.9943253544023555e-09,5,0.415,0.0,5,0.42,0.0,5,0.42,0.0,5,0.42,0.0,5,0.9805845143035555,1.516713420685414e-05,5
fast_strong,tkgl-yago,historical_frequency,strong_baseline,label_split,1.0,0.9252302981979813,3.998132773219407e-05,5,0.8854052944870915,7.874506953994523e-05,5,0.41838595472118584,0.0,5,0.415,0.0,5,0.425,0.0,5,0.425,0.0,5,0.43,0.0,5,0.9824071849278381,1.1566405516151285e-05,5
fast_strong,tkgl-yago,relational_popularity,strong_baseline,label_split,1.0,0.9282749001749637,1.626584211076294e-05,5,0.8882377718039929,0.00013133013665375353,5,0.4182071532268276,0.0,5,0.415,0.0,5,0.425,0.0,5,0.425,0.0,5,0.43,0.0,5,0.9830092066720734,1.3083205643532454e-05,5
optimized,tkgl-yago,ssptgfm,full,label_split,1.0,0.9499166269608023,0.0008196057811543624,5,0.8767124414415418,0.024290614830111305,5,0.6782567400739631,0.2937899193317083,5,0.622,0.34692578457070616,5,0.787,0.1732628061645084,5,0.865,0.07549834435270751,5,0.896,0.03560196623783583,5,0.9830586096639496,0.002769192953451551,5
strict_v2,tkgl-yago,lm_mlp,baseline,label_split,1.0,0.8310090386317821,0.0011465809197665957,5,0.3945577470899595,0.0034364541067406005,5,0.007079657276610589,0.00020917201610526793,5,0.0,0.0,5,0.0,0.0,5,0.12,0.010606601717798215,5,0.251,0.012942179105544797,5,0.9032858780066153,0.0009364860685571586,5
strict_v2,tkgl-yago,ssptgfm,full,label_split,1.0,0.9509083047226861,0.0012092020692482464,5,0.8759096090271912,0.021929975112862446,5,0.6381973656403606,0.2665313625591073,5,0.5760000000000001,0.31682802906308655,5,0.766,0.1488875414532727,5,0.862,0.06648308055437864,5,0.889,0.03595135602449513,5,0.983122839674549,0.00257556215478585,5
strict_v2,tkgl-yago,structure_mlp,baseline,label_split,1.0,0.9553957891667827,0.0043310094666675755,5,0.8992711734548288,0.004100581443044861,5,0.8981460575356689,0.009121748044789876,5,0.876,0.018165902124584965,5,0.92,0.0,5,0.92,0.0,5,0.921,0.0022360679774997916,5,0.9855335690473936,0.00043818831094463555,5
