,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icews14,complex,trainable_baseline,standard,1.0,0.0026640606220967394,5,0.6441086153416425,0.003039296248565657,0.0013487240838961803,5,0.901467401888571,0.0015386932318790759,0.0,5,14378.0,0.0,0.023632024881503476,5,0.25149999999999995,0.02696061942908581,0.009726222288226808,5,0.5005,0.011096170510586069,0.010668055117967862,5,0.7205,0.012170661444638102,0.007527522832911211,5,0.671,0.008587782018658806,0.01655305594003971,5,0.33847424414267974,0.01888457057004361,0.0004446942145863328,5,0.9405051163107265,0.0005073298433754687,0.003457406632933578,5,0.6478806623939626,0.003944385845458237,0.001115074455260225,5,0.8986495567032945,0.0012721338173139853,0.0,5,14592.0,0.0,0.0005308691790558151,5,0.9409468115513085,0.0006056426385348521
icews14,distmult,trainable_baseline,standard,1.0,0.0026422365142493164,5,0.6408099413321185,0.003014398193108961,0.0017742909144703774,5,0.9026772383605415,0.0020242015799061376,0.0,5,14378.0,0.0,0.015649345034217894,5,0.255,0.017853571071357138,0.015023115522420756,5,0.48250000000000004,0.01713913650100259,0.009167060597596177,5,0.7075,0.010458250331675968,0.011130660357768525,5,0.6615,0.012698425099200283,0.010146933878633265,5,0.3331361405975278,0.011576139752969176,0.0006217553141970332,5,0.94019733848638,0.0007093301775083196,0.0019130159777681903,5,0.6454914136274565,0.0021824662083331126,0.0012918177865982683,5,0.8997096261176816,0.00147377162519237,0.0,5,14592.0,0.0,0.0003065667222676592,5,0.9407956560930362,0.0003497469544029512
icews14,temporal_distmult,trainable_baseline,standard,1.0,0.004325024911167863,5,0.668200958817379,0.004934209033546598,0.0011017517048888441,5,0.9061226530556132,0.0012569345441110933,0.0,5,14378.0,0.0,0.018163077932993626,5,0.15050000000000002,0.020721365785102103,0.01757181265550028,5,0.43150000000000005,0.020046820196729452,0.01599833116296822,5,0.704,0.018251712248443984,0.013454939613391044,5,0.6245,0.015350081433008733,0.015232857745083508,5,0.24833574767221628,0.01737842112734229,0.0007942958981985659,5,0.9449935140250296,0.0009061732768475746,0.00524448773753923,5,0.6805687782910314,0.00598317912668459,0.0015433012299609571,5,0.9069825653047993,0.0017606767652814978,0.0,5,14592.0,0.0,0.0009569615216986299,5,0.9470244358438554,0.0010917505175356004
