2026-05-20_00:29:36 formal_watchdog_start threshold_mb=24000
2026-05-20_01:24:16 used_mb=7346 total_mb=32768
2026-05-20_01:24:46 used_mb=7346 total_mb=32768
2026-05-20_01:25:16 used_mb=7346 total_mb=32768
2026-05-20_01:25:46 used_mb=7346 total_mb=32768
2026-05-20_01:26:16 used_mb=7346 total_mb=32768
2026-05-20_01:26:46 used_mb=7346 total_mb=32768
2026-05-20_01:27:16 used_mb=7346 total_mb=32768
2026-05-20_01:27:46 used_mb=7346 total_mb=32768
2026-05-20_01:28:16 used_mb=7346 total_mb=32768
2026-05-20_01:28:46 used_mb=7346 total_mb=32768
2026-05-20_01:29:17 used_mb=7346 total_mb=32768
2026-05-20_01:29:47 used_mb=7346 total_mb=32768
2026-05-20_01:30:17 used_mb=7346 total_mb=32768
2026-05-20_01:30:47 used_mb=7346 total_mb=32768
2026-05-20_01:31:17 used_mb=7346 total_mb=32768
2026-05-20_01:31:47 used_mb=7346 total_mb=32768
2026-05-20_01:32:17 used_mb=7346 total_mb=32768
2026-05-20_01:32:47 used_mb=7346 total_mb=32768
2026-05-20_01:33:17 used_mb=7346 total_mb=32768
2026-05-20_01:33:47 used_mb=7346 total_mb=32768
2026-05-20_01:34:17 used_mb=7346 total_mb=32768
2026-05-20_01:34:47 used_mb=7346 total_mb=32768
2026-05-20_01:35:18 used_mb=7346 total_mb=32768
2026-05-20_01:35:48 used_mb=7346 total_mb=32768
2026-05-20_01:36:18 used_mb=7346 total_mb=32768
2026-05-20_01:36:48 used_mb=7346 total_mb=32768
2026-05-20_01:37:18 used_mb=7346 total_mb=32768
2026-05-20_01:37:48 used_mb=7346 total_mb=32768
2026-05-20_01:38:18 used_mb=7346 total_mb=32768
2026-05-20_01:38:48 used_mb=7346 total_mb=32768
2026-05-20_01:39:18 used_mb=7346 total_mb=32768
2026-05-20_01:39:48 used_mb=7346 total_mb=32768
2026-05-20_01:40:18 used_mb=7346 total_mb=32768
2026-05-20_01:40:48 used_mb=7346 total_mb=32768
2026-05-20_01:41:19 used_mb=7346 total_mb=32768
2026-05-20_01:41:49 used_mb=7346 total_mb=32768
2026-05-20_01:42:19 used_mb=7346 total_mb=32768
2026-05-20_01:42:49 used_mb=7346 total_mb=32768
2026-05-20_01:43:19 used_mb=7346 total_mb=32768
2026-05-20_01:43:49 used_mb=7346 total_mb=32768
2026-05-20_01:44:19 used_mb=7346 total_mb=32768
2026-05-20_01:44:49 used_mb=7346 total_mb=32768
2026-05-20_01:45:19 used_mb=7346 total_mb=32768
2026-05-20_01:45:49 used_mb=7346 total_mb=32768
2026-05-20_01:46:19 used_mb=7346 total_mb=32768
2026-05-20_01:46:50 used_mb=7346 total_mb=32768
2026-05-20_01:47:20 used_mb=7346 total_mb=32768
2026-05-20_01:47:50 used_mb=7346 total_mb=32768
2026-05-20_01:48:20 used_mb=7346 total_mb=32768
2026-05-20_01:48:50 used_mb=7346 total_mb=32768
2026-05-20_01:49:20 used_mb=7346 total_mb=32768
2026-05-20_01:49:50 used_mb=7346 total_mb=32768
2026-05-20_01:50:20 used_mb=7346 total_mb=32768
2026-05-20_01:50:50 used_mb=7346 total_mb=32768
2026-05-20_01:51:20 used_mb=7346 total_mb=32768
2026-05-20_01:51:50 used_mb=7346 total_mb=32768
2026-05-20_01:52:20 used_mb=7346 total_mb=32768
2026-05-20_01:52:51 used_mb=7346 total_mb=32768
2026-05-20_01:53:21 used_mb=7346 total_mb=32768
2026-05-20_01:53:51 used_mb=7346 total_mb=32768
2026-05-20_01:54:21 used_mb=7346 total_mb=32768
2026-05-20_01:54:51 used_mb=7346 total_mb=32768
2026-05-20_01:55:21 used_mb=7346 total_mb=32768
2026-05-20_01:55:51 used_mb=7346 total_mb=32768
2026-05-20_01:56:21 used_mb=7346 total_mb=32768
2026-05-20_01:56:51 used_mb=7346 total_mb=32768
