2026-05-20_22:58:21 combined_watchdog_start threshold_mb=24000
2026-05-20_23:52:59 used_mb=13234 total_mb=32768
2026-05-20_23:53:29 used_mb=13234 total_mb=32768
2026-05-20_23:53:59 used_mb=13234 total_mb=32768
2026-05-20_23:54:29 used_mb=13234 total_mb=32768
2026-05-20_23:54:59 used_mb=13234 total_mb=32768
2026-05-20_23:55:29 used_mb=13234 total_mb=32768
2026-05-20_23:56:00 used_mb=13234 total_mb=32768
2026-05-20_23:56:30 used_mb=13234 total_mb=32768
2026-05-20_23:57:00 used_mb=13234 total_mb=32768
2026-05-20_23:57:30 used_mb=13234 total_mb=32768
2026-05-20_23:58:00 used_mb=13234 total_mb=32768
2026-05-20_23:58:30 used_mb=13234 total_mb=32768
2026-05-20_23:59:00 used_mb=13234 total_mb=32768
2026-05-20_23:59:30 used_mb=13234 total_mb=32768
2026-05-21_00:00:00 used_mb=13234 total_mb=32768
2026-05-21_00:00:30 used_mb=13234 total_mb=32768
2026-05-21_00:01:00 used_mb=13234 total_mb=32768
2026-05-21_00:01:30 used_mb=13234 total_mb=32768
2026-05-21_00:02:00 used_mb=13234 total_mb=32768
2026-05-21_00:02:31 used_mb=13234 total_mb=32768
2026-05-21_00:03:01 used_mb=13234 total_mb=32768
2026-05-21_00:03:31 used_mb=13234 total_mb=32768
2026-05-21_00:04:01 used_mb=13234 total_mb=32768
2026-05-21_00:04:31 used_mb=13234 total_mb=32768
2026-05-21_00:05:01 used_mb=13234 total_mb=32768
2026-05-21_00:05:31 used_mb=13234 total_mb=32768
2026-05-21_00:06:01 used_mb=13234 total_mb=32768
2026-05-21_00:06:31 used_mb=13234 total_mb=32768
2026-05-21_00:07:01 used_mb=13234 total_mb=32768
2026-05-21_00:07:31 used_mb=13234 total_mb=32768
2026-05-21_00:08:01 used_mb=13234 total_mb=32768
2026-05-21_00:08:31 used_mb=13234 total_mb=32768
2026-05-21_00:09:02 used_mb=13234 total_mb=32768
2026-05-21_00:09:32 used_mb=13234 total_mb=32768
2026-05-21_00:10:02 used_mb=13234 total_mb=32768
2026-05-21_00:10:32 used_mb=13234 total_mb=32768
2026-05-21_00:11:02 used_mb=13234 total_mb=32768
2026-05-21_00:11:32 used_mb=13234 total_mb=32768
2026-05-21_00:12:02 used_mb=13234 total_mb=32768
2026-05-21_00:12:32 used_mb=13234 total_mb=32768
2026-05-21_00:13:02 used_mb=13234 total_mb=32768
2026-05-21_00:13:32 used_mb=13234 total_mb=32768
