,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yago15k-temporal,lm_mlp,baseline,standard,1.0,0.004240631413141949,5,0.1540793392408241,0.004837928626176732,0.0063686698755906854,5,0.715036886583563,0.00726570345309995,0.0,5,26719.0,0.0,0.0015495160534825059,5,0.0025,0.0017677669529663688,0.00682491025582022,5,0.027000000000000003,0.0077862057511987205,0.022433225358828808,5,0.2585,0.025592967784139452,0.0064635439195537365,5,0.1305,0.00737394060187632,0.003029135640051952,5,0.016509534583836638,0.0034557924511344385,0.00215582083468233,5,0.8244092553467313,0.00245947037431634,0.008079921076618854,5,0.19787350981278307,0.009217986112322982,0.0061094852153435525,5,0.7626635697061918,0.006970012371958227,0.0,5,6738.0,0.0,0.0042140220425758495,5,0.8218753802304561,0.004807571298919446
yago15k-temporal,ssptgfm,full,standard,1.0,0.008475679768891037,5,0.15305655718678537,0.009669487815693913,0.03270554912920962,5,0.6503870614648943,0.03731215872161825,0.0,5,26719.0,0.0,0.03392697157130297,5,0.0505,0.03870561974700831,0.09503979166643832,5,0.18250000000000002,0.1084262422110072,0.04404552190631872,5,0.5025000000000001,0.05024937810560448,0.08873465726535489,5,0.35950000000000004,0.1012330232681016,0.05537173880155393,5,0.10123262437939826,0.06317090407787619,0.004407801147719978,5,0.8271180091295003,0.0050286443865323795,0.011105554433780813,5,0.1677725712139773,0.01266978298048882,0.03494940124504667,5,0.6742163741113452,0.03987205967185722,0.0,5,6738.0,0.0,0.004895658423210913,5,0.8111950280511587,0.005585216851489304
yago15k-temporal,structure_mlp,baseline,standard,1.0,0.004754159542151241,5,0.14336320295629637,0.005423787710270129,0.007806044303637306,5,0.656199543947419,0.00890553351954491,0.0,5,26719.0,0.0,0.01134432016473442,5,0.07150000000000001,0.012942179105544785,0.014894710470499247,5,0.2305,0.016992645467966427,0.004099634130016988,5,0.605,0.004677071733467448,0.02677570914093593,5,0.41899999999999993,0.030547094788211857,0.006484010939258955,5,0.1388835393375584,0.007397290421956778,0.003168781526780147,5,0.8199444341416301,0.00361510760190101,0.0020195519251750074,5,0.14439959609899833,0.00230400785141933,0.004305185360887875,5,0.6179159324259806,0.004911575062592987,0.0,5,6738.0,0.0,0.001255073798982899,5,0.7970186561310475,0.0014318522098493208
