group,model_signature,datasets_completed,datasets_expected,datasets,selected_candidates,mean_score,mean_val_auc,mean_val_ap,mean_val_mrr,mean_val_hits@10,mean_val_ndcg,model_config
struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p25_sa0p1_rl0p05_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p25_sa0p1_rl0p05_m0_bpr"", ""icews14"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p25_sa0p1_rl0p05_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p25_sa0p1_rl0p05_m0_bpr"", ""tkgl-yago"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p25_sa0p1_rl0p05_m0_bpr"", ""yago15k-temporal"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p25_sa0p1_rl0p05_m0_bpr""}",0.3027357402419514,0.7027384440104167,0.5860145646411461,0.11157943082031692,0.2,0.8832794639408432,
struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p5_sa0p1_rl0p05_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p5_sa0p1_rl0p05_m0_bpr"", ""icews14"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p5_sa0p1_rl0p05_m0_bpr"", ""tkgl-smallpedia"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p5_sa0p1_rl0p05_m0_bpr"", ""tkgl-yago"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p5_sa0p1_rl0p05_m0_bpr"", ""yago15k-temporal"": ""struct_history_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp0p35_freq40_sr0p5_sa0p1_rl0p05_m0_bpr""}",0.3020534405416746,0.70526123046875,0.589639526454113,0.10851053586706201,0.2,0.8866365532323606,
struct_residual_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_sr0p35_sa0p1_rl0p05_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_residual_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_sr0p35_sa0p1_rl0p05_m0_bpr"", ""icews14"": ""struct_residual_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_sr0p35_sa0p1_rl0p05_m0_bpr"", ""tkgl-smallpedia"": ""struct_residual_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_sr0p35_sa0p1_rl0p05_m0_bpr"", ""tkgl-yago"": ""struct_residual_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_sr0p35_sa0p1_rl0p05_m0_bpr"", ""yago15k-temporal"": ""struct_residual_fastscan_h96_r12_a12_p4x4_l1_neg1_lr0p001_sr0p35_sa0p1_rl0p05_m0_bpr""}",0.23824725546863798,0.7,0.5684169356480843,0.0953553535802912,0.2,0.870669767462634,
struct_residual_fastscan_h128_r16_a16_p4x4_l1_neg1_lr0p0007_sr0p35_sa0p1_rl0p05_m0_bpr,,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""struct_residual_fastscan_h128_r16_a16_p4x4_l1_neg1_lr0p0007_sr0p35_sa0p1_rl0p05_m0_bpr"", ""icews14"": ""struct_residual_fastscan_h128_r16_a16_p4x4_l1_neg1_lr0p0007_sr0p35_sa0p1_rl0p05_m0_bpr"", ""tkgl-smallpedia"": ""struct_residual_fastscan_h128_r16_a16_p4x4_l1_neg1_lr0p0007_sr0p35_sa0p1_rl0p05_m0_bpr"", ""tkgl-yago"": ""struct_residual_fastscan_h128_r16_a16_p4x4_l1_neg1_lr0p0007_sr0p35_sa0p1_rl0p05_m0_bpr"", ""yago15k-temporal"": ""struct_residual_fastscan_h128_r16_a16_p4x4_l1_neg1_lr0p0007_sr0p35_sa0p1_rl0p05_m0_bpr""}",0.2003997627591195,0.6970662434895833,0.5650950599470369,0.04393827894364779,0.16666666666666666,0.8758471909838945,
