,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icews05-15,edgebank_exact,strong_baseline,standard,1.0,0.000513886097942868,5,0.5743977616439724,0.0005862674733124324,2.9777294087867343e-05,5,0.7863853307597825,3.3971456003303054e-05,0.0,5,74087.0,0.0,0.0,5,0.02,0.0,0.0,5,0.165,0.0,0.0,5,0.355,0.0,0.0,5,0.32,0.0,0.0,5,0.07480091495088823,0.0,6.549796129051194e-05,5,0.9407906031504709,7.472341522103805e-05,0.00061852673648544,5,0.5949372290859267,0.0007056468513686446,3.533410197942445e-05,5,0.7963608182481268,4.031094589280763e-05,0.0,5,60324.0,0.0,7.944550301731356e-05,5,0.9432290473053726,9.063548227213152e-05
icews05-15,edgebank_time_decay,strong_baseline,standard,1.0,0.0002907546596569597,5,0.6021951227480249,0.0003317077468202947,2.242844397141121e-05,5,0.7871471735202332,2.558751293348001e-05,0.0,5,74087.0,0.0,0.0,5,0.185,0.0,0.0,5,0.32,0.0,0.0,5,0.36,0.0,0.0,5,0.36,0.0,0.0,5,0.23744574744086414,0.0,4.199693299554875e-05,5,0.944231277333526,4.79122433798729e-05,0.000481007600492938,5,0.6209617485116888,0.000548758006324628,2.1733106690459744e-05,5,0.7970978175563646,2.4794236694960954e-05,0.0,5,60324.0,0.0,5.461919112083589e-05,5,0.9465146579832548,6.231235929706225e-05
icews05-15,historical_frequency,strong_baseline,standard,1.0,0.00040742754397490074,5,0.7662413215624828,0.0004648141246090117,4.852502702663709e-05,5,0.8723760631002738,5.535982604161992e-05,0.0,5,74087.0,0.0,0.0,5,0.175,0.0,0.0,5,0.345,0.0,0.0,5,0.45,0.0,0.0,5,0.42000000000000004,0.0,0.0,5,0.23085696425545227,0.0,3.901417532670665e-05,5,0.9662117956992169,4.4509361283985276e-05,0.000450896232055959,5,0.7909023355054051,0.0005144054212630838,4.006498114979434e-05,5,0.8820616608008771,4.5708174167442773e-05,0.0,5,60324.0,0.0,4.6966326283945016e-05,5,0.9693270610961939,5.358158072670212e-05
icews05-15,relational_popularity,strong_baseline,standard,1.0,0.00029653367162456925,5,0.6738122781827888,0.00033830073845415176,9.527915514105199e-05,5,0.8059382676532048,0.00010869932027252084,0.0,5,74087.0,0.0,0.0,5,0.165,0.0,0.0,5,0.31,0.0,0.0,5,0.4149999999999999,0.0,0.0,5,0.4,0.0,0.0,5,0.2195578983572876,0.0,3.8107846127512476e-05,5,0.9496660289054084,4.347537470266327e-05,0.00032188268743350065,5,0.6961528998116151,0.0003672201887151147,4.8904985686309536e-05,5,0.8132121442014988,5.579330226185833e-05,0.0,5,60324.0,0.0,3.450786079713933e-05,5,0.952350469324213,3.9368327806379405e-05
