,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tkgl-yago,complex,trainable_baseline,label_split,1.0,0.002541506581440581,5,0.8429978519974606,0.002899480347634819,0.0010596481191888388,5,0.933553299135921,0.001208900625885736,0.0,5,40052.0,0.0,0.012161480173070978,5,0.6839999999999999,0.01387443692551154,0.00796155763654323,5,0.757,0.009082951062292463,0.003666824239038483,5,0.796,0.004183300132670402,0.0024004999479275138,5,0.783,0.0027386127875258298,0.005070076618947706,5,0.7107690707940258,0.0057842020260711075,0.0003590139345831023,5,0.9781333156128355,0.00040958140948850995,0.0013580513848977628,5,0.9152708536324381,0.001549334292637311,0.00044417670949587255,5,0.9684013721429636,0.0005067394471708915,0.0,5,39046.0,0.0,0.000172219971577193,5,0.9889206554753075,0.0001964773283314721
tkgl-yago,distmult,trainable_baseline,label_split,1.0,0.003832569116917351,5,0.7785364694343595,0.004372390343823233,0.0016583717947312245,5,0.9143486761053634,0.0018919551351976253,0.0,5,40052.0,0.0,0.03568599725382494,5,0.457,0.04071240597164458,0.011000472717115411,5,0.648,0.012549900398011161,0.012626416752190638,5,0.717,0.014404860290887951,0.012927087839107409,5,0.6910000000000001,0.014747881203752568,0.02360754304762436,5,0.5253774987123393,0.0269326893042044,0.0004968716749188383,5,0.9699286110766405,0.0005668565516391326,0.0026977957328700427,5,0.8585321300057789,0.0030777829837276933,0.0009203173094231639,5,0.955364617613722,0.001049944930989746,0.0,5,39046.0,0.0,0.00033548715340874364,5,0.9823150718822289,0.00038274085744890367
tkgl-yago,temporal_distmult,trainable_baseline,label_split,1.0,0.002461400683942503,5,0.8138419877493142,0.0028080914536530166,0.0015236610911387154,5,0.92635962911029,0.0017382702930906482,0.0,5,40052.0,0.0,0.0030990321069650144,5,0.705,0.0035355339059327407,0.0024004999479275255,5,0.788,0.0027386127875258432,0.006500584589096593,5,0.799,0.007416198487095673,0.003666824239038466,5,0.794,0.004183300132670382,0.0013636063733853644,5,0.7383589707120446,0.0015556717068579769,0.0003856971439038135,5,0.9739786713553082,0.00044002297576349267,0.0015693837219491562,5,0.8894293757803308,0.0017904330025816032,0.000681100704720859,5,0.9586991360240459,0.0007770344261626799,0.0,5,39046.0,0.0,0.0002141080555248142,5,0.9851589208078444,0.0002442653911651959
