,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icews05-15,lm_mlp,baseline,standard,1.0,0.001662481083547635,5,0.7602568670152462,0.0018966432214898056,0.000673209951324252,5,0.9151131508233309,0.0007680322521889552,0.0,5,74087.0,0.0,0.011595516374875247,5,0.06,0.013228756555322952,0.026909879226782115,5,0.319,0.030700162866017497,0.005367681063550634,5,0.625,0.0061237243569579524,0.011428665713896797,5,0.548,0.013038404810405309,0.007433222790441867,5,0.14431707449156347,0.008480199720065659,0.0001896438343142688,5,0.9688781870136307,0.00021635535971449606,0.0012140452738335738,5,0.8275966885171433,0.0013850447755378663,0.0002354847326373468,5,0.9483300878266665,0.00026865299481656677,0.0,5,60324.0,0.0,0.00010553858650586314,5,0.9790608633634713,0.00012040380289609796
icews05-15,ssptgfm,full,standard,1.0,0.05333299656627747,5,0.7501533213286239,0.06084500294181597,0.011944464740808526,5,0.920981480521909,0.013626854650661874,0.0,5,74087.0,0.0,0.016221886450101912,5,0.054000000000000006,0.01850675552332175,0.06968344423175421,5,0.302,0.07949842765740717,0.09423300058896564,5,0.663,0.10750581379627801,0.08494966509645581,5,0.5589999999999999,0.09691491113342675,0.030665061326479486,5,0.13764710001344843,0.03498426615316735,0.0067540406115022805,5,0.9688452429614024,0.007705354045976198,0.039832389030287255,5,0.8019716407946241,0.045442821213234307,0.008243092396386792,5,0.9417725653781319,0.009404140277108423,0.0,5,60324.0,0.0,0.004841375921456166,5,0.9758719060455789,0.00552328860459524
icews05-15,structure_mlp,baseline,standard,1.0,0.0023289377818973465,5,0.8371196732003561,0.0026569710182092073,0.0015196395643481484,5,0.9380577301948595,0.001733682330194197,0.0,5,74087.0,0.0,0.012777636714197193,5,0.24,0.014577379737113254,0.012161480173071062,5,0.634,0.013874436925511635,0.006500584589096574,5,0.859,0.007416198487095653,0.008199268260033941,5,0.8299999999999998,0.009354143466934854,0.0058677857168502896,5,0.3679325888535817,0.006694269255244684,0.00032553017367782476,5,0.9794725824770751,0.00037138142707700457,0.002789255496625981,5,0.8602853163241677,0.0031821249474850146,0.0005563300830811794,5,0.9496432182659278,0.0006346897365804197,0.0,5,60324.0,0.0,0.000302056564634259,5,0.9826115025161949,0.0003446015365164602
