group,model_signature,datasets_completed,datasets_expected,datasets,selected_candidates,mean_score,mean_val_auc,mean_val_ap,mean_val_mrr,mean_val_hits@10,mean_val_ndcg,model_config
fd648a2b58e7,fd648a2b58e7,1,1,yago15k-temporal,"{""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0p01_rl0p02_m0_bpr""}",0.16976767213095117,0.6263092041015625,0.271550333504183,0.017639393044828207,0.05,0.7889996537783148,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.1,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
dea802352042,dea802352042,1,1,yago15k-temporal,"{""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p01_rl0p05_m0_bpr""}",0.1697400218735555,0.62659912109375,0.2720308949229735,0.017342682885774865,0.05,0.7893409013753453,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
42ed2769ce79,42ed2769ce79,1,1,yago15k-temporal,"{""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0p05_rl0p05_m0_bpr""}",0.15718946926138944,0.630889892578125,0.2684541391694809,0.013528989056278477,0.0,0.7861235922892179,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.1,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
88d0535ca24f,88d0535ca24f,1,1,yago15k-temporal,"{""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p05_rl0p02_m0_bpr""}",0.1571105341376457,0.630328369140625,0.2680413375055658,0.013598970097765803,0.0,0.7858843000589666,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
