,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icews05-15,lm_mlp,baseline,standard,1.0,0.0018785759818608356,5,0.7635009323933553,0.0021431753042547145,0.0010951592444665421,5,0.9172820149320969,0.001249413528986989,0.0,5,74087.0,0.0,0.01592311527308648,5,0.061,0.018165902124584948,0.017910153544847134,5,0.306,0.020432816741702563,0.016221886450101926,5,0.639,0.018506755523321764,0.012777636714197155,5,0.555,0.01457737973711321,0.010498257901203695,5,0.14570976402021918,0.011976948118579458,0.0003045233969733075,5,0.9697010451672838,0.0003474158246793211,0.00047826976864510386,5,0.8276256452957911,0.0005456345480987499,0.00040641061008318813,5,0.9490119905650307,0.00046365395455263785,0.0,5,60324.0,0.0,0.00011287320780616866,5,0.9790892906996129,0.00012877151300665974
icews05-15,ssptgfm,full,standard,1.0,0.04568689926538575,5,0.7569939028565582,0.05212194512172845,0.01073208399090515,5,0.9219171166754986,0.012243708848929159,0.0,5,74087.0,0.0,0.013649820511640438,5,0.05600000000000001,0.01557241150239744,0.054704720088855206,5,0.28700000000000003,0.06240993510651969,0.10582185029567384,5,0.63,0.12072696467649639,0.10506587267043468,5,0.529,0.11986450684001497,0.023862990705690906,5,0.13027746479459382,0.027224117022638036,0.005797054380817034,5,0.9696782397875585,0.006613575339168287,0.032899045790305795,5,0.805534072317494,0.03753290958265411,0.007292007659552231,5,0.9424058701664725,0.008319094295514251,0.0,5,60324.0,0.0,0.004002718861294478,5,0.9762938584470138,0.004566505851364799
icews05-15,structure_mlp,baseline,standard,1.0,0.0028624406370992258,5,0.8388122498502696,0.0032656182888324875,0.0005730058691977329,5,0.9383747838995197,0.0006537143239961652,0.0,5,74087.0,0.0,0.020696337840304037,5,0.24299999999999997,0.02361143790623521,0.011428665713896821,5,0.643,0.013038404810405335,0.004997039123320907,5,0.857,0.005700877125495665,0.009994078246641861,5,0.8309999999999998,0.011401754250991384,0.00851507181456297,5,0.3669496726468456,0.009714428270742492,0.000306045643769595,5,0.9796570155409338,0.0003491524814727038,0.002892454014041159,5,0.8625263866640897,0.0032998590801980423,0.0005507662560857697,5,0.949765979709832,0.0006283422389392033,0.0,5,60324.0,0.0,0.00032098854472780764,5,0.9828203216628566,0.00036620010510719883
