,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tkgl-yago,lm_mlp,baseline,label_split,1.0,0.003012184833818286,5,0.3945577470899595,0.00343645410674061,0.001005022488294512,5,0.8310090386317821,0.0011465809197665896,0.0,5,40052.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.011344320164734429,5,0.251,0.012942179105544795,0.00929709632089504,5,0.12,0.010606601717798219,0.00018334735602480723,5,0.007079657276610589,0.00020917201610526765,0.0008208662316359105,5,0.9032858780066153,0.0009364860685571348,0.003680519495102103,5,0.4322266226329732,0.004198924379368116,0.000675843977272177,5,0.8689320878031982,0.0007710372833491892,0.0,5,39046.0,0.0,0.0009082770422382991,5,0.9119022229321564,0.0010362087800241248
tkgl-yago,ssptgfm,full,label_split,1.0,0.019222470718117692,5,0.8759096090271912,0.02192997511286243,0.0010599123459460263,5,0.9509083047226861,0.0012092020692482594,0.0,5,40052.0,0.0,0.27771201198363743,5,0.576,0.31682802906308655,0.13050568416739558,5,0.766,0.14888754145327274,0.03151275297399454,5,0.889,0.03595135602449514,0.05827498948948855,5,0.8620000000000001,0.06648308055437867,0.23362503996858003,5,0.6381973656403606,0.2665313625591073,0.0022575797668837757,5,0.983122839674549,0.0025755621547858426,0.01747543629405113,5,0.8254338538166287,0.019936869127533334,0.0014445228521509734,5,0.9341008350535575,0.0016479853532966608,0.0,5,39046.0,0.0,0.0021878561930938133,5,0.976027381824848,0.0024960179452814656
tkgl-yago,structure_mlp,baseline,label_split,1.0,0.0035943181107376126,5,0.8992711734548289,0.004100581443044857,0.0037962971788362606,5,0.9553957891667828,0.00433100946666763,0.0,5,40052.0,0.0,0.015923115273086486,5,0.876,0.018165902124584955,0.0,5,0.9200000000000002,0.0,0.001960000000000017,5,0.921,0.002236067977499809,0.0,5,0.9200000000000002,0.0,0.007995564691096172,5,0.8981460575356689,0.009121748044789872,0.000384088989285477,5,0.9855335690473936,0.0004381883109446505,0.0036034701569332165,5,0.8438995543817487,0.004111022564180871,0.0038962933118084605,5,0.9385633487079488,0.0044450901558579095,0.0,5,39046.0,0.0,0.00030672475740782697,5,0.9777781450447248,0.0003499272489520578
