,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icews14,edgebank_exact,strong_baseline,standard,1.0,0.00022209645493958014,5,0.41504079688164375,0.0002533789646972552,5.4935186663127e-06,5,0.7177568507441926,6.267286313030194e-06,0.0,5,14378.0,0.0,0.0,5,0.025,0.0,0.0,5,0.2375,0.0,0.0,5,0.3025,0.0,0.0,5,0.3025,0.0,0.0,5,0.10047168437379791,0.0,3.81033473214971e-05,5,0.8789706605154421,4.347024223528166e-05,0.0014245905664492578,5,0.4012597515692701,0.0016252455850436082,3.461605788267305e-05,5,0.7079909539473684,3.9491764560573664e-05,0.0,5,14592.0,0.0,0.00024575062439192964,5,0.8750039610020893,0.000280364847782333
icews14,edgebank_time_decay,strong_baseline,standard,1.0,0.0010681014598542594,5,0.4372974680031042,0.0012185446281126975,0.0006926203200716838,5,0.7173381323156789,0.0007901765909581362,0.0,5,14378.0,0.0,0.0,5,0.14,0.0,0.0,5,0.28,0.0,0.0,5,0.3025,0.0,0.0,5,0.3025,0.0,0.0,5,0.19413885972755648,0.0,0.000315993342211406,5,0.8829372550825824,0.00036050132327656,0.0008039919982433777,5,0.42171492446601794,0.0009172350823663694,9.263059572970415e-06,5,0.7081646116473338,1.0567770859587766e-05,0.0,5,14592.0,0.0,0.00014029991513396086,5,0.8787591954061096,0.00016006129973315716
icews14,historical_frequency,strong_baseline,standard,1.0,0.0013430549012921266,5,0.6395419317158659,0.0015322255391854414,0.0001092310395392866,5,0.8331570941687488,0.0001246163416647001,0.0,5,14378.0,0.0,0.0,5,0.1675,0.0,0.0,5,0.33,0.0,0.0,5,0.3975,0.0,0.0,5,0.3775,0.0,0.0,5,0.22744822498953404,0.0,0.00018328206763358368,5,0.9302301758904523,0.00020909753177826896,0.001193103915321188,5,0.6178908754237366,0.0013611538055506782,9.247237689066654e-05,5,0.8172757644441979,0.00010549720447373013,0.0,5,14592.0,0.0,0.0001831138682660182,5,0.9244296792935565,0.00020890564136008077
icews14,relational_popularity,strong_baseline,standard,1.0,0.0004435882615802961,5,0.5103686698301023,0.0005060681157727043,5.0830394999505475e-05,5,0.7546476115801175,5.798990741941818e-05,0.0,5,14378.0,0.0,0.0,5,0.17,0.0,0.0,5,0.3225,0.0,0.0,5,0.3675,0.0,0.0,5,0.355,0.0,0.0,5,0.22154794176304202,0.0,0.00010163189673439894,5,0.8972339237987301,0.00011594685192875252,0.00117213831139562,5,0.48336850985286306,0.0013372351751593996,0.00013604943671611925,5,0.7385996332893595,0.0001552121371417339,0.0,5,14592.0,0.0,0.00018719116574082782,5,0.8899338233247212,0.0002135572302979188
